Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.212-192.168.3.1-9137-53-6,192.168.3.212,9137,192.168.3.1,53,6,12/11/2023 02:07:08 下午,32750,5,5,31.0,158.0,29.0,0.0,6.2,12.774975538137047,158.0,0.0,31.6,70.65974808899335,5770.992366412213,305.34351145038164,3638.8888888888887,9319.177920348506,28426.0,71.0,32442.0,8110.5,14949.664043047924,30504.0,71.0,31139.0,7784.75,13787.397660544937,28426.0,137.0,0,0,0,0,112,112,152.67175572519082,152.67175572519082,0.0,158.0,17.18181818181818,47.49909090039131,2256.163636363636,2,2,0,3,9,0,0,0,1.0,18.9,6.2,31.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9138-53-6,192.168.3.212,9138,192.168.3.1,53,6,12/11/2023 02:07:08 下午,35171,4,5,31.0,183.0,29.0,0.0,7.75,14.198004554631376,183.0,0.0,36.6,81.8400879764923,6084.558300872878,255.89263882175655,4396.375,10609.771142509559,30553.0,0.0,2582.0,860.6666666666667,1260.355637640953,2316.0,133.0,32953.0,8238.25,14919.458845749064,30553.0,0.0,0,0,0,0,92,112,113.73006169855847,142.16257712319808,0.0,183.0,21.400000000000002,57.498212532603524,3306.0444444444447,1,2,0,3,8,0,0,0,1.0,23.77777777777778,7.75,36.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9145-53-6,192.168.3.212,9145,192.168.3.1,53,6,12/11/2023 02:07:09 下午,23927,4,5,38.0,233.0,36.0,0.0,9.5,17.69180601295413,233.0,0.0,46.6,104.20076775149019,11326.11693902286,376.1441049859991,2990.875,6406.554376741281,18560.0,0.0,1956.0,652.0,965.1585362001416,1766.0,67.0,22275.0,5568.75,8836.117525059672,18560.0,0.0,0,0,0,0,92,112,167.17515777155515,208.96894721444394,0.0,233.0,27.1,73.21573904868026,5360.544444444445,1,2,0,3,8,0,0,0,1.0,30.11111111111111,9.5,46.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9146-53-6,192.168.3.212,9146,192.168.3.1,53,6,12/11/2023 02:07:09 下午,30349,5,5,38.0,271.0,36.0,0.0,7.6,15.899685531481433,271.0,0.0,54.2,121.1948843804886,10181.554581699562,329.5001482750667,3372.1111111111113,7072.389349513438,21721.0,0.0,29894.0,7473.5,12894.421959384867,26750.0,98.0,27936.0,6984.0,10468.720775083586,22176.0,0.0,0,0,0,0,112,112,164.75007413753335,164.75007413753335,0.0,271.0,28.09090909090909,81.27786235556954,6606.090909090909,2,2,0,3,9,0,0,0,1.0,30.9,7.6,54.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9147-53-6,192.168.3.212,9147,192.168.3.1,53,6,12/11/2023 02:07:09 下午,38913,5,5,38.0,233.0,36.0,0.0,7.6,15.899685531481433,233.0,0.0,46.6,104.20076775149019,6964.253591344795,256.98352735589646,4323.666666666667,9646.14893364186,29801.0,0.0,38479.0,9619.75,16498.00509910213,34329.0,118.0,36773.0,9193.25,13992.572181339641,29801.0,0.0,0,0,0,0,112,112,128.49176367794823,128.49176367794823,0.0,233.0,24.636363636363637,69.9375045698268,4891.254545454545,2,2,0,3,9,0,0,0,1.0,27.1,7.6,46.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9148-53-6,192.168.3.212,9148,192.168.3.1,53,6,12/11/2023 02:07:09 下午,51457,6,4,38.0,271.0,36.0,0.0,6.333333333333333,14.555640372950505,271.0,0.0,67.75,135.5,6005.013895096877,194.3370192587986,5717.444444444443,12921.5116386504,39962.0,0.0,51457.0,10291.4,18512.57438337521,43331.0,99.0,48064.0,16021.333333333334,23262.758334585633,42704.0,0.0,0,0,0,0,132,92,116.60221155527915,77.73480770351944,0.0,271.0,28.09090909090909,81.27786235556954,6606.090909090909,1,2,1,3,9,0,0,0,0.0,30.9,6.333333333333333,67.75,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9149-53-6,192.168.3.212,9149,192.168.3.1,53,6,12/11/2023 02:07:09 下午,55471,5,5,38.0,233.0,36.0,0.0,7.6,15.899685531481433,233.0,0.0,46.6,104.20076775149019,4885.435633033477,180.27437760271133,6163.444444444444,15037.792018038344,46085.0,0.0,55223.0,13805.75,23498.485843063732,48968.0,93.0,51501.0,12875.250000000002,22250.560313169644,46085.0,0.0,0,0,0,0,112,112,90.13718880135566,90.13718880135566,0.0,233.0,24.636363636363637,69.9375045698268,4891.254545454545,2,2,0,3,9,0,0,0,1.0,27.1,7.6,46.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9150-53-6,192.168.3.212,9150,192.168.3.1,53,6,12/11/2023 02:07:09 下午,62208,5,5,38.0,271.0,36.0,0.0,7.6,15.899685531481433,271.0,0.0,54.2,121.1948843804886,4967.206790123457,160.75102880658437,6911.999999999999,17194.503067841186,52602.0,0.0,62061.0,15515.25,26992.64118699761,55931.0,42.0,58306.0,14576.5,25454.72453199995,52602.0,0.0,0,0,0,0,112,112,80.37551440329219,80.37551440329219,0.0,271.0,28.090909090909086,81.27786235556954,6606.090909090909,2,2,0,3,9,0,0,0,1.0,30.9,7.6,54.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9153-53-6,192.168.3.212,9153,192.168.3.1,53,6,12/11/2023 02:07:09 下午,24126,4,5,45.0,288.0,43.0,0.0,11.25,21.18765363759439,288.0,0.0,57.6,128.79751550398788,13802.536682417309,373.04153195722455,3015.75,7059.417048979934,20406.0,0.0,1997.0,665.6666666666667,936.4963071648137,1747.0,117.0,22534.0,5633.5,9891.750047387975,20406.0,0.0,0,0,0,0,92,112,165.79623642543314,207.2452955317914,0.0,288.0,33.3,90.49745238894236,8189.788888888889,1,2,0,3,8,0,0,0,1.0,37.0,11.25,57.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9154-53-6,192.168.3.212,9154,192.168.3.1,53,6,12/11/2023 02:07:09 下午,30095,4,5,45.0,218.0,43.0,0.0,11.25,21.18765363759439,218.0,0.0,43.6,97.49256381899083,8738.99318823725,299.0529988370161,3761.8749999999995,8823.350472103635,25466.0,0.0,2438.0,812.6666666666667,1300.2066502419273,2314.0,56.0,27896.0,6974.000000000001,12381.105927985594,25466.0,0.0,0,0,0,0,92,112,132.91244392756272,166.14055490945339,0.0,218.0,26.3,68.68616228097832,4717.788888888888,1,2,0,3,8,0,0,0,1.0,29.22222222222222,11.25,43.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
